,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
0,0.0,0.0,0.0,0.0,@BBC,2018-06-08 20:49:16,@localnotail @TheStephenRalph @afneil @bbcthisweek @BBC @10DowningStreet We all all understood what it meant the peoples vote was in 2016,1
1,0.0,0.0,0.0,0.0,@BBC,2018-06-08 20:49:04,turkish police  and students @ZDF @BBC @VOXde @EUDelegationTur @eu https://t.co/tLEDcIaoQ1,2
2,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 20:48:59,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,3
3,0.8658,0.0,0.0,0.373,@BBC,2018-06-08 20:48:58,RT @mr_chambers_: Dear @BBC #TraceyBreaksTheNews isn’t funny or entertaining. Please take it off air or give us all a big licence rebate -…,4
4,-0.6783,0.358,0.358,0.0,@BBC,2018-06-08 20:48:50,RT @destayo67: @NijaActivist @segalink @BBCBreaking @BBC @CNN When will this madness stop?,5
5,0.0,0.0,0.0,0.0,@BBC,2018-06-08 20:48:35,"RT @uBeRToKS: @NijaActivist @segalink @BBCBreaking @BBC @CNN In saner climes, @YomiShogunle  would have been booted, but for the sake of co…",6
6,0.7739,0.0,0.0,0.296,@BBC,2018-06-08 20:48:27,@Hull_Patriot @TheStephenRalph @afneil @bbcthisweek @BBC @10DowningStreet LOL 🤣 more and more people are… https://t.co/0G44nASupv,7
7,-0.6783,0.411,0.411,0.0,@BBC,2018-06-08 20:48:16,@NijaActivist @segalink @BBCBreaking @BBC @CNN When will this madness stop?,8
8,0.0,0.0,0.0,0.0,@BBC,2018-06-08 20:48:02,RT @NeilKenny10: @EB1caneyeB @Otto_English @MIkef45 @BBC You don’t need any more funding if the BBC puts you on TV every night! And they do…,9
9,0.4404,0.074,0.074,0.187,@BBC,2018-06-08 20:47:52,RT @NijaActivist: @MideBhadmus @segalink @BBCBreaking @BBC @CNN Like they stopped me twice before this year and we all joked about it. I do…,10
10,0.8271,0.0,0.0,0.293,@BBC,2018-06-08 20:47:50,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,11
11,0.3818,0.0,0.0,0.106,@BBC,2018-06-08 20:47:49,"RT @bmc875: Dear @bbc. During the Breakfast programme, the presenter, in discussing the World Cup, referred to the England Team as ""we"". Se…",12
12,0.743,0.0,0.0,0.259,@BBC,2018-06-08 20:47:43,@NeilKenny10 @Otto_English @MIkef45 @BBC Yes. You know it. I know it. But many still trust the BBC. Too many. I fou… https://t.co/f7mJ4FsZkK,13
13,0.296,0.0,0.0,0.196,@BBC,2018-06-08 20:47:27,@irisstylosa @BBC Same here. Haven't even heard anything resembling a joke.,14
14,-0.6908,0.241,0.241,0.0,@BBC,2018-06-08 20:47:11,"RT @MyConcern: Prime minister attacks 'vile' #online threats ""Online #violence against #women and #girls should not be separated from offli…",15
15,0.0,0.0,0.0,0.0,@BBC,2018-06-08 20:46:57,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",16
